rank,word,paradigm,frequency,weight,DISKRIM,LAMUV,NETAISN,AICIN,DARB,PERS,ASOC,MILIT,NOSOD,EMOC,NODEV
108,krimināls,Īp.s,34014,0.4,0,0,0,0,0,0,1,0,0,0,0
109,provokācija,D4.a,33562,0.4,0,0,0,0,0,0,1,0,0,0,0
110,pedofīls,D1.s,33373,0.4,0,0,0,0,0,0,1,0,0,0,0
111,mīkstais,Īp.ais,33089,0.55,1,1,0,0,0,0,0,0,0,0,0
112,iznīcināšana,D4.a,32642,1.0,0,0,0,0,1,0,0,0,0,0,0
113,posts,D1.s,32408,0.4,0,0,0,0,0,0,1,0,0,0,0
114,kroplis,D2.lis,32284,0.55,1,1,0,0,0,0,0,0,0,0,0
115,riebties,K1.bties.bjos.bos,32198,0.4,0,0,0,0,0,0,1,0,0,0,0
116,ņirgāties,K2.ties,32164,1.0,0,0,0,0,1,0,0,0,0,0,0
117,iebrukt,K1.ukt.ūku.uku,31915,0.7,0,0,0,0,1,0,0,1,0,0,0
118,agresors,D1.s,31553,0.4,0,0,0,0,0,0,1,0,0,0,0
119,sātans,D1.s,31084,0.5,0,1,0,0,0,1,1,0,0,0,0
120,slimnieks,D1.s,30951,0.7,1,0,0,0,0,0,0,0,0,0,0
121,uguns,D6.s,30727,0.4,0,0,0,0,0,0,1,0,0,0,0
122,čekiste,D5.e,30109,0.4,0,0,0,0,0,0,1,0,0,0,0
123,liekēdis,D2.dis,29335,0.7,0,0,1,0,0,0,0,0,0,0,0
124,nepieļaut,K1.aut.auju.āvu,29143,1.0,0,0,0,0,1,0,0,0,0,0,0
125,korumpēts,Īp.s,29089,0.7,0,0,1,0,0,0,0,0,0,0,0
126,kaitīgs,Īp.s,28423,0.55,0,0,1,0,0,0,1,0,0,0,0
127,sagraut,K1.aut.auju.āvu,28412,1.0,0,0,0,1,1,0,0,0,0,0,0
128,blēdis,D2.dis,28382,0.7,0,0,1,0,0,0,0,0,0,0,0
129,izzagt,K1.agt.ogu.agu,28330,1.0,0,0,0,0,1,0,0,0,0,0,0
130,война,Rus,28320,0.4,0,0,0,0,0,0,0,1,0,0,0
131,zagšana,D4.a,28278,0.8,0,0,1,0,1,0,0,0,1,0,0
132,graut,K1.aut.auju.āvu,28128,0.85,0,0,0,0,1,0,0,0,0,0,1
133,kapitālisms,D1.s,27971,0.7,0,0,1,0,0,0,0,0,0,0,0
134,liberālis,D2.lis,27518,0.1,0,0,0,0,0,0,0,0,0,0,0
135,nozombēts,Īp.s,27309,1.0,0,0,0,0,1,0,0,0,0,0,0
136,iebrukums,D1.s,27136,0.7,0,0,0,0,1,0,0,1,0,0,0
137,nolādēts,Īp.s,26991,1.0,0,0,0,0,1,0,0,0,0,0,0
138,nolaist,K1.st.žu.du,26962,0.7,0,0,0,0,0,0,0,0,0,0,1
139,nogalināts,Īp.s,26935,1.0,0,0,0,0,1,0,0,0,0,0,0
140,imigrante,D5.e,26669,0.7,1,0,0,0,0,0,0,0,0,0,0
141,nēģeris,D2.is,26600,0.7,1,0,0,0,0,0,0,0,0,0,0
